customer_id,latitude,longitude,state,region,city,zip_code
18287,41.5869,-109.2048,WY,West,Rock Springs,82901
18283,43.48,-110.7618,WY,West,Jackson,83001
18282,44.4892,-108.0562,WY,West,Greybull,82426
18281,41.268,-110.9633,WY,West,Evanston,82930
18280,41.14,-104.8202,WY,West,Cheyenne,82001
18278,40.064,-80.7209,WV,East,Wheeling,26003
18277,39.4301,-77.8042,WV,East,Shepherdstown,25443
18276,39.6415,-78.7745,WV,East,Ridgeley,26753
18274,37.8954,-81.1643,WV,East,Mount Hope,25880
18273,39.19,-80.33,WV,East,Mount Clare,26408
18272,39.9204,-80.7431,WV,East,Moundsville,26041
18270,39.6295,-79.9559,WV,East,Morgantown,26508
18269,39.6295,-79.9559,WV,East,Morgantown,26508
18268,39.4561,-77.9638,WV,East,Martinsburg,25404
18265,37.6576,-80.9765,WV,East,Jumping Branch,25969
18263,38.0531,-81.104,WV,East,Fayetteville,25840
18262,39.4851,-80.1426,WV,East,Fairmont,26554
18261,40.367,-80.5412,WV,East,Colliers,26035
18260,40.367,-80.5412,WV,East,Colliers,26035
18259,38.3506,-81.6333,WV,East,Charleston,25387
18257,38.3506,-81.6333,WV,East,Charleston,25304
18256,37.9737,-82.0174,WV,East,Chapmanville,25508
18255,43.1835,-89.2134,WI,Central,Sun Prairie,53590
18252,45.5028,-91.7332,WI,Central,Rice Lake,54868
18251,44.278,-88.2721,WI,Central,Kaukauna,54130
18249,43.0167,-88.007,WI,Central,West Allis,53219
18248,43.0494,-88.0079,WI,Central,Wauwatosa,53213
18246,44.9596,-89.6298,WI,Central,Wausau,54401
18245,43.1919,-89.4557,WI,Central,Waunakee,53597
18242,43.0045,-88.3768,WI,Central,Wales,53183
18241,43.1835,-89.2134,WI,Central,Sun Prairie,53590
18240,46.3533,-91.8224,WI,Central,Solon Springs,54873
18239,43.3334,-88.2858,WI,Central,Slinger,53086
18237,44.9097,-89.6046,WI,Central,Schofield,54476
18236,42.5547,-88.1109,WI,Central,Salem,53168
18235,42.7261,-87.7825,WI,Central,Racine,53405
18233,43.3872,-87.8756,WI,Central,Port Washington,53074
18232,42.5523,-87.9314,WI,Central,Pleasant Prairie,53158
18231,42.7343,-90.4784,WI,Central,Platteville,53818
18230,43.5378,-89.3001,WI,Central,Pardeeville,53954
18229,44.0207,-88.5409,WI,Central,Oshkosh,54902
18228,42.926,-89.3843,WI,Central,Oregon,53575
18227,43.8831,-91.2344,WI,Central,Onalaska,54650
18226,44.8739,-88.1429,WI,Central,Oconto Falls,54154
18225,43.1117,-88.4993,WI,Central,Oconomowoc,53066
18224,43.8114,-88.4834,WI,Central,North Fond Du Lac,54937
18223,42.9765,-88.109,WI,Central,New Berlin,53151
18222,43.9658,-89.2176,WI,Central,Neshkoro,54960
18221,44.1858,-88.4626,WI,Central,Neenah,54956
18220,42.9058,-88.139,WI,Central,Muskego,53150
18219,42.9058,-88.139,WI,Central,Muskego,53150
18218,46.0994,-91.8248,WI,Central,Minong,54859
18217,43.0115,-87.9735,WI,Central,Milwaukee,53211
18216,43.0115,-87.9735,WI,Central,Milwaukee,53211
18215,43.0115,-87.9735,WI,Central,Milwaukee,53206
18213,42.7756,-88.944,WI,Central,Milton,53563
18212,43.1056,-89.5089,WI,Central,Middleton,53562
18211,43.2219,-87.9823,WI,Central,Mequon,53092
18210,44.2022,-88.4465,WI,Central,Menasha,54952
18209,45.1389,-90.3461,WI,Central,Medford,54451
18205,43.4942,-88.5448,WI,Central,Mayville,53050
18204,44.6689,-90.1718,WI,Central,Marshfield,54449
18203,44.0886,-87.6576,WI,Central,Manitowoc,54220
18202,44.0886,-87.6576,WI,Central,Manitowoc,54220
18200,43.8603,-88.2815,WI,Central,Malone,53049
18198,43.0748,-89.3838,WI,Central,"Madison,",53703
18196,43.0748,-89.3838,WI,Central,Madison,53714
18194,43.0748,-89.3838,WI,Central,Madison,53705
18193,43.0748,-89.3838,WI,Central,Madison,53704
18192,43.0748,-89.3838,WI,Central,Madison,53703
18191,43.0748,-89.3838,WI,Central,Madison,53703
18190,42.5917,-88.4334,WI,Central,Lake Geneva,53147
18189,43.8014,-91.2396,WI,Central,Lacrosse,54601
18188,43.5822,-90.1282,WI,Central,La Valle,53941
18185,43.5214,-88.2279,WI,Central,Kewaskum,53040
18184,42.5847,-87.8212,WI,Central,Kenosha,53142
18183,42.5847,-87.8212,WI,Central,Kenosha,53142
18181,44.9747,-92.7569,WI,Central,Hudson,54016
18180,43.9633,-91.2563,WI,Central,Holmen,54636
18178,46.013,-91.4849,WI,Central,Hayward,54843
18177,44.3136,-88.0957,WI,Central,Greenleaf,54126
18176,44.5299,-88.0248,WI,Central,Green Bay,54311
18174,44.5299,-88.0248,WI,Central,Green Bay,54311
18173,44.5299,-88.0248,WI,Central,Green Bay,54301
18172,44.5299,-88.0248,WI,Central,Green Bay,54301
18171,42.8886,-88.0384,WI,Central,Franklin,53132
18170,42.8886,-88.0384,WI,Central,Franklin,53132
18169,42.8886,-88.0384,WI,Central,Franklin,53132
18168,42.6728,-88.5445,WI,Central,Elkhorn,53121
18165,42.6331,-88.6437,WI,Central,Delavan,53115
18164,44.4487,-88.0601,WI,Central,De Pere,54115
18161,46.0066,-92.3713,WI,Central,Danbury,54830
18160,44.91,-90.3157,WI,Central,Colby,54421
18159,43.2967,-87.9876,WI,Central,Cedarburg,53012
